Comment,label
这就是你们官方辛苦16个月的结果？吃白饭呢？更新给你家孩子玩呢？那界面更新和动漫版，说白了就是把原来的真实感觉变成动漫感觉，这还打个屁，一群吃白饭的东西,Toxic
王者荣耀这种坑比游戏，只有充钱的才可以上段位，我才充V2，原来是砖石，过了一个赛季就不停的输，我见意大家不要玩这种坑比游戏了，王者荣耀一年的收入就是几千亿。天美你自己来看我的战绩几连输，2295536742,Toxic
这个软件的老板的母亲是不是夜夜被狗轮奸，才生出这么个杂种，真你妈的脏，祝你不得好死，家中女性被全国公狗轮奸，cnm,Toxic
还没玩，先点1000000000个赞,Toxic
真TM垃圾，微信网页版和微信PC版更是垃圾中的垃圾，一定要我手机版的在线，还要你web版和PC版干嘛？这两个项目组的项目经理脑子里是不是装的米田共？老子工作用微信和私人微信还不能同时在线了，还更新成这副丑样子，真的恶心,Toxic
完了一局掉了3次，垃圾玩意，妈的，到现在都一直闪退，不他妈完了,Toxic
贼鸡巴好玩，发自内心的好玩，建议下载！！！！！！！！！！！！！！！！！！,Toxic
神经病啊老是出现闪退，玩一把游戏闪退5次也是醉了，真的是越来越差越来越难玩了,Toxic
连跪二十把了块 狗屁游戏,Toxic
再见吧垃圾游戏,Toxic
遇到的都是对面大神，我方辣鸡,Toxic
欧屁,Toxic
辣鸡，听歌还要收费,Toxic
伟大的迷你终究会取代垃圾的WC，,Toxic
其他的不说了，手游都这样。上班族玩真尼玛费劲，天天被清挂机，一天清几次。又不是职业玩家，鬼火冒。弃坑了,Toxic
还好我没有更新，越更新越垃圾，还是老版好用??,Toxic
麻花疼我操你妈,Toxic
不好充vⅠp不能用真他妈傻逼,Toxic
傻逼软件，拉丝也算敏感词，说了就禁言半天，真他妈的,Toxic
太垃圾了.我有好几个月的会员.是会员的电视剧都不能看.垃圾.要不是有会员我都不下载.,Toxic
果断退游，草泥马的天美公司,Toxic
真垃圾真垃圾，还要收费,Toxic
傻逼软件！！垃圾真的垃圾，莫名其妙扣20多！找客服没有人！草泥马的傻逼软件，真特么用吐了,Toxic
完全ojbk,Toxic
666666,Unhelpful
http://www.jiuyao.yuzhuagame.com/index.php/index/index/appid/2/tgid/de0000604<br>九妖游戏平台<br>首充折扣，返现，上线送满V无限元宝<br>●?下载网址：九妖游戏：<br>http://www.jiuyao.yuzhuagame.com/de0000604-2.html(电脑)<br>http://wap.jiuyao.yuzh,Toxic
狗屎东西  第二次充完钱抽奖全是再接再厉 还要好评  我评你妈卖麻批,Toxic
辣鸡，,Toxic
6666666666666,Unhelpful
真的很不错，王者荣耀更新太垃圾玩这个,Toxic
垃圾，平台举报一点用都没有,Toxic
妈的神经病，一动弹就强制跳转商品买卖，想钱想疯了吧！！！！,Toxic
垃圾游戏,Toxic
刚开始玩不太会，但我有一堆朋友陪我，我渐渐厉害了，之后因为学习我卸载了，但我回来后，大家呢？是我让你们等太久了吗？你们回来吧，没有你们真的不开心啊，如果你们看见了请回来，U221794861回来吧！(っ╥╯﹏╰╥c),Toxic
可以改名为拼垃圾了,Toxic
网页版每个隔3分钟必须看一分钟广告，提示下载app，下载后只有文字直播，你们是傻逼吧。,Toxic
真的垃圾,Toxic
垃圾，真的是一颗星都不想给,Toxic
垃圾游戏，时间到了就直接退出去了，东西都不让领，,Toxic
我没闪退过，就是TMD刚打开的时候卡的一批,Toxic
我一星也不想给，里面的人太没素质，刚加的第一个人骂我是婊子，是你们，你们忍的住吗？,Toxic
这款云电脑非常实用，秒变 window 系统。就算 CF . LOL 等一系列都能驾驭<br>ID18978750804,Toxic
真操蛋看个海绵宝宝都能卡,Toxic
牛逼，整个app瘫痪一天程序猿还没修复，老板带着小姨子跑路了？,Toxic
垃圾   第一次进下载完了新资源一直卡在登陆界面,Toxic
腾讯的儿子们这游戏越来越坑了！现在的画面好幼稚！没以前的好！卧槽你们吗的！看你们把猴子给改的什么玩意！一点攻击力都没有！我告诉你们你们要跟大众口味来设计！而不是你们想咋设计就咋设计的！别忘记了玩家们都是你们的爹妈！你们要靠我们养活知道吗？我草你们吗的,Toxic
车辆信息，油耗记录数据也能丢失，重新添加居然显示功能建设中！垃圾APP,Toxic
艹，什么吉尔，460说来就来,Toxic
吃什么垃圾游戏？,Toxic
破游戏，总闪退，不是手机的问题。一星也不想给。特别是在排位时，老闪退，分都掉没了，破！！！游！！！戏！！！垃圾！！！,Toxic
垃圾中的垃圾 一分都不想给 垃圾,Toxic
垃圾，会员完全就是骗钱的，买不买都一样，还是下不下来,Toxic
越更新越辣鸡  现在搞得像动画片 玩得完全没有灵魂,Toxic
很牛逼，很适合玩,Toxic
王者现在跟个垃圾一样，是不是筹划脑子进水了，越来越像全民超神了，小学生荣耀,Toxic
垃圾！秒拒90天！,Toxic
真是垃圾，看视频一直有红的图标，关不掉。还老是关联启动其他软件。这么多好评都是刷的吧。央视整么会吧电视给这种辣鸡公司代理？,Toxic
垃圾，闪退，打不开,Toxic
骗人的软件，垃圾,Toxic
垃圾,Toxic
666666,Toxic
垃圾玩意儿，一直闪退，跟内存无关，十个G一直上不了,Toxic
想当店下载云集直接进5190791,Toxic
辣鸡，还要这么多钱,Toxic
更新后的一个比一个垃圾,Toxic
注册都是问题，垃圾,Toxic
自从有了百词斩，哪个单词敢拦老子的路我斩了它,Toxic
艹，你更新的什么玩意闪退比原来更厉害了,Toxic
删了就不能找回来了垃圾游戏,Toxic
66666666666666366666666666666666666666666666666666666666666666666666666666......,Toxic
2v2就是垃圾 匹配对手不符 挂机狗是什么鬼又没任务 乱下卡的电脑狗 还不如打1v1星级宝箱来的快,Toxic
好玩666666666666666666,Toxic
垃圾还没有迷你世界好玩,Toxic
沃特法克？这是啥玩意,Toxic
都没人啊全是机器人无限送人头，辣鸡，几个配件顶一辆金币车了，坑钱就别说了，既然瞄准器不能和炮口同步要他干嘛，喵的好好的会打在地上，也踏马服了,Toxic
垃圾东西里面的东西都要钱,Toxic
垃圾玩意儿，买东西不发货,Toxic
垃圾游戏玩你妈逼，演员坑的不扣分玩你妈呀游戏体验何在？。垃圾游戏天美瞎了吧,Toxic
傻逼软件都不能提现！华为应用还有这软件,Toxic
越来越垃圾上个游戏都进不去需要10分钟才能登上去服务器是吃屎了吗,Toxic
辣鸡，捆绑,Toxic
什么傻逼游戏，傻逼策划，天天闪退玩你??呢，,Toxic
5201314,Toxic
666666,Toxic
垃圾软件里面东西都要钱,Toxic
想当店主必须要输邀请码：5190791然后就可以当店主，不然下载了也没用,Toxic
辣鸡游戏，真心不喜欢,Toxic
6666666666,Toxic
一直闪退，一颗星也不想给，就这样吧。煞笔游戏,Toxic
zhe真卡，辣鸡,Toxic
邀请码0GUKSJ,Toxic
辣鸡，真的卡,Toxic
打不开！垃圾了！,Toxic
出了收费之后简直吃相难看，充值不到账，没soul币不给你匹配，还匹配的贼慢，根本匹配不到。垃圾,Toxic
垃圾软件用不了 太卡了,Toxic
傻逼，我的无限卡26号过期，现在才20号，但是我看书的时候还是要钱，他妈的，这软件就是个坑货！,Toxic
垃圾,Toxic
垃圾，我都没有作弊，硬说我作弊，都想举报这软件了,Toxic
你妈批，光爱闪退进都进不去,Toxic
狗日的必要，上来就要通讯录权限，表示强烈不满,Toxic
垃圾游戏，更新个赛季要半年，卧槽,Toxic
好个屁，评论要几个字,Toxic
拉几，老逢号,Toxic
设置游戏这个人死全家,Toxic
狗比游戏，里面的人坑得不行，开局几分钟就送五个，唉，有时候打着打着排位就被闪退了，狗比游戏，还毁了学生的未来，你们知道有多少人玩这个游戏成绩一落千丈吗，,Toxic
什么垃圾！电影大全的，想看的都没有,Toxic
不好玩………个屁,Toxic
不好，每次我搜的时候按下一个字母，都说没有结果 ，傻逼！科技真是一颗星都不想给,Toxic
真tmd辣鸡   限速？  nmsl,Toxic
一星都不想给，垃圾,Toxic
是个垃圾,Toxic
简直辣鸡??????,Toxic
草泥马玩不了不下架，还在这坑我流量日你妈,Toxic
垃圾,Toxic
总是说网络连接不上，垃圾玩意,Toxic
什么破游戏，破新版本。垃圾，太差了，不知道他们在想什么。,Toxic
你妹妹的用钱宝，额度是来看的,Toxic
兄弟们，删了在下载，就又是免费了，我刚重下载了，免费了，骗子是傻逼,Toxic
麻烦把（6080伦理片）这个色情搜索给删了。我儿子老看这个，别的搜索平台都看不了，就华为浏览器可以搜索。,Toxic
这狗日的,Toxic
FWQHQXJ<br>邀请码<br>速度是有点慢，有其他推荐吗？,Toxic
输入邀请码领现金 B46ZKRX6,Toxic
辣鸡游戏，天美你再安排几个?,Toxic
输入邀请码领现金 B46ZKRX6,Toxic
一直在那啊啊啊啊的叫个不停好sb,Toxic
解压太他妈慢，差评,Toxic
好辣鸡，大家不要下载,Toxic
辣鸡玩意,Toxic
垃圾迷你,Toxic
厂家制作的很好(?▽?)想给1000000星,Toxic
我撬快手他妈！,Toxic
真他妈好,Toxic
牛批啊,Toxic
别下载，垃圾游戏，卡的要死，快点倒闭吧，去投诉这破游戏,Toxic
垃圾游戏，每次玩到快要连胜的时候，都给我一个游击将军打，我才统领,Toxic
垃圾游戏，内存大也就算了，还闪退，好坑，垃圾！,Toxic
不错，无聊的时候可以玩玩，越玩越想玩的一个游戏44048494,Toxic
神经病软件吧，吧吧吧吧……,Toxic
太垃圾了，经常打不开显示无下载请稍等录音也弄不了,Toxic
一星不想给，强的强的飞起，垃圾的还不如人机，还有那个健康系统，我16岁了还是1小时，艹，真辣鸡,Toxic
这是个专门约炮的神器  刚注册上去就有人发信息进行挑逗  约炮之类的话语和图片  没找到投诉的地方,Toxic
垃圾    老是更新,Toxic
123456789               ！！！！！（*???）つ―{}@{}@{}-　来吃烧烤?,Toxic
抄袭又怎样，抄袭都比我的世界好玩。而且，不要说我们是迷你狗。你们自己呢？支持迷你世界的迷你宝宝们顶上去,Toxic
666666666,Toxic
除了地图傻逼了点别的挺好的,Toxic
闪退，太垃圾了啦，还不如不更新呢,Toxic
垃圾游戏,Toxic
无法输入邀请码,Toxic
垃圾,Toxic
真垃圾,Toxic
流氓软件艹 有毛用,Toxic
垃圾软件，坑那么多钱，买棺材给你以后用啊？你要是缺钱买棺材。我们帮你凑钱买嘛，不要去耽误别人，你知道人家为了这回考试准备了多久嘛？,Toxic
垃圾软件，各种bug，就是漫画比其他的多,Toxic
太垃圾了，为什么斗兽棋有平局这种沙雕机制,Toxic
我才下载想看看它是怎么提现的，结果？告诉我说，系统检测出我用违规手段，得奖励。我连看都没看，你就禁止我提现。辣鸡??,Toxic
用这个码90289371，轻松带你飞,Toxic
尼玛的  网络不好根本卡的要死  以前网络不好还能玩玛德,Toxic
辣鸡,Toxic
操他妈，这游戏变成他妈什么卵样了，左一G又一G，真他妈当我们的流量不要钱啊,Toxic
购物成功了，借款总是未成功，扣了我卡里399元，弄了个大礼包，卧槽她妈,Toxic
越来越垃圾，赚到钱了就不把用户当回事儿。真差劲，你们是飘了吗(? ??_??)?,Toxic
好好玩666666666666666666,Toxic
垃圾,Toxic
垃圾游戏,Toxic
66666666,Toxic
到处都是辣鸡广告！受不了，卸载了,Toxic
太垃圾了????,Toxic
好，就是界面黄片多,Toxic
你TM的，我和人家步骤写的差不多，结果也一样，妈买批的，人家比我高9分，改的是什么破卷子，他妈的，早点下架吧，破软件，一星我都嫌多,Toxic
操你妈，充多少钱输多少钱,Toxic
怎么没有个人所得税附加扣除,Toxic
超级垃圾的游戏，匹配的队友是猪，不给欧，还把搞的监管太厉害。不推荐，玩了会疯,Toxic
垃圾，从没见过这么差的app，你的下载躲在一堆广告里让你找,Toxic
卧槽去死吧操你妈,Toxic
辣鸡，啥东西啊，没一点用，辣鸡，真垃圾,Toxic
更新后开局中途屏幕卡住不动+游戏音效变噪音。辣鸡游戏。终于要凉了,Toxic
太差了   很多歌都没有   以后再也不用了   辣鸡,Toxic
要充钱还要用大把时间玩，不然就是渣渣,Toxic
垃圾中的战斗机！文件没了？妈的逼,Toxic
果然是这样，傻逼二蛋，脑残(~_~;)他全家脑子傻逼，如果有附星的话，我想给他附N星，啥也没用，千万不要下载??，浪费人生，浪费时间,Toxic
垃圾的都不想说话,Toxic
laji,Toxic
垃圾趣配音,Toxic
游戏客观说是不错的。后期活动跟不上，挂机为主。非RMB玩家就算了，生存不下去的，打点装备卖了元宝非V都买不了拍卖行的东西  今天果断卸载。强制元宝复活，垃圾游戏,Toxic
为什么存档会丢失，老子的1500魔和水晶矿，水晶斧,Toxic
一星都不想给，退钱，天美，把游戏改回来，没人玩了，还一直闪退，辣鸡！！！,Toxic
??牛批,Toxic
垃圾软件。,Toxic
广告太多，真辣鸡,Toxic
辣鸡游戏,Toxic
你妈，一局游戏闪退好几次，光子死全家，开发者都是吃翔长大的,Toxic
什么狗屁玩意，都没有广告。,Toxic
你们为什么无缘无故封锁我妈妈的号,Toxic
新版软件超级垃圾！！！！,Toxic
跟新你妈卖批！花了2个多G  ，有三天吗？又来一次比上次还大的数据更新。。。更你妈。拜拜。,Toxic
啥子TM软件  垃圾  找回密码也不行  退个票也不行,Toxic
"好差?你妈去死,神经病，破东西也敢叫我们下载?????????????",Toxic
进去死机又没人玩,Toxic
垃圾东西，特别卡顿。所问非所答。一颗星星都不想给,Toxic
垃圾死了，,Toxic
这是我见过史上最敷衍的游戏。很多都拿动画来做替补，这厂家脑子有毛病。而且关卡这位小舞碎片。不给，唐三的碎片，完全毁了我对斗罗大陆的喜欢。垃圾,Toxic
垃圾，原来多好用。现在很烦躁啊，符号呢，还我符号！,Toxic
一星都不值的垃圾软件   坑钱玩意    买的大家注意别遇见黑心商家了   一个订单号可以发给四五个人,Toxic
垃圾,Toxic
440公里，顺风车才180块钱。连高速费都不够，那个傻子会接单啊，赶紧倒闭吧破软件，,Toxic
我TM没玩就给我说俩小时时间已到？？！,Toxic
在座的都是垃圾,Toxic
刚进坑，emmm，这渣渣游戏……<br>真香!,Toxic
天美，你他妈就是垃圾，去你妈的，想钱想疯了吧，我日你妈的，操你妈，逼吃。,Toxic
辣鸡腾讯，一直闪图，玩个毛,Toxic
操你妈，每一局都扣我钱，一颗星都不想给,Toxic
闪退真心受不了，为什么啊，这游戏还让不让人玩，艹你妈的，老子充了那么多钱,Toxic
辣鸡，闪退,Toxic
全家死骗人 这个软件还完就不能用 没有任何逾期 大家千万别用,Toxic
草泥马了隔壁，老是自己下载虎牙TV版，草泥马略比，不亏是腾讯软件，沃日你吗略比,Toxic
什么垃圾狗游戏？日你妈，玩了一会儿就卡死。真是垃圾的东西。哈皮,Toxic
666666,Toxic
我根本都没有挂机，为什么还扣我的分？一个垃圾游戏,Toxic
狗屁不通，连不上，浪费时间。一点不好用，那些说好用的估计是水手吧！！！……,Toxic
小学生放假了，又多了老多坑比了,Toxic
很少玩了原因就是这联通大王卡太垃圾了延时超级高不说动不动就掉线,Toxic
垃圾，一颗星不想给,Toxic
你他妈是什么垃圾，一堆搜不到的题，一星都不想给,Toxic
就是骗人的一款垃圾软件，所谓的技术员半天说不出个屁，还要你绕弯子！恶心，无耻，良心让狗吃了！,Toxic
